fecha,hora,observacion,temperatura
20111209,7,14740,2.656537
20111209,8,15807,2.656537
20111209,9,15979,3.323982
20111209,10,15979,4.990648
20111209,11,15832,6.893907
20111209,12,15655,8.440095
20111209,13,15426,9.551207
20111209,14,15298,10.782796
20111209,15,15148,11.338352
20111209,16,15255,11.338352
20111209,17,16628,11.171883
20111209,18,17507,10.200192
20111209,19,17212,9.789184
20111209,20,16690,10.094326
20111209,21,16076,10.094326
20111209,22,15191,9.69971
20111209,23,13951,0
20111209,24,12576,9.144155
20111210,1,11546,8.983215
20111210,2,10948,8.272357
20111210,3,10636,6.866859
20111210,4,10486,7.422414
20111210,5,10599,6.592984
20111210,6,11042,6.037429
20111210,7,11882,5.352228
20111210,8,12801,5.227241
20111210,9,13799,4.671685
20111210,10,14411,6.463339
20111210,11,14577,7.328984
20111210,12,14560,7.548735
20111210,13,14452,6.789316
20111210,14,14270,6.137443
20111210,15,14138,6.044707
20111210,16,14338,5.15169
20111210,17,15838,3.964035
20111210,18,16915,2.708497
20111210,19,16753,1.668189
20111210,20,16336,1.112633
20111210,21,15896,0.557078
20111210,22,15253,0.486275
20111210,23,14294,-0.069281
20111210,24,13134,-0.624836
20111211,1,12206,-1.248471
20111211,2,11666,-1.804026
20111211,3,11382,-1.804026
20111211,4,11287,-2.359582
20111211,5,11384,-2.291503
20111211,6,11713,-2.847059
20111211,7,12335,-3.402614
20111211,8,12993,-2.915137
20111211,9,13892,-2.291503
20111211,10,14452,-0.480409
20111211,11,14621,1.186257
20111211,12,14618,2.223744
20111211,13,14568,2.640418
20111211,14,14424,3.195974
20111211,15,14330,3.819608
20111211,16,14596,3.751529
20111211,17,16289,3.195974
20111211,18,17623,2.152941
20111211,19,17651,1.597386
20111211,20,17345,1.186257
20111211,21,16787,0.630702
20111211,22,15676,0.075146
20111211,23,14282,0.630702
20111211,24,12962,0.075146
20111212,1,12076,0.075146
20111212,2,11624,0.630702
20111212,3,11467,0.075146
20111212,4,11507,-0.403866
20111212,5,11899,-0.3243
20111212,6,13083,-0.3243
20111212,7,15229,-0.879856
20111212,8,16304,-0.879856
20111212,9,16355,-0.241608
20111212,10,16264,2.53617
20111212,11,16142,4.6757
20111212,12,15974,6.741813
20111212,13,15718,7.708497
20111212,14,15613,8.751529
20111212,15,15484,8.686082
20111212,16,15707,8.751529
20111212,17,17244,7.297368
20111212,18,18384,5.15169
20111212,19,18356,4.6757
20111212,20,18068,4.120144
20111212,21,17462,2.53617
20111212,22,16313,1.980615
20111212,23,14675,1.425059
20111212,24,13145,1.342366
20111213,1,12204,0.15169
20111213,2,11759,0.15169
20111213,3,11585,0.15169
20111213,4,11601,-0.959421
20111213,5,12012,-1.514977
20111213,6,13214,-1.514977
20111213,7,15395,-2.070533
20111213,8,16466,-1.591521
20111213,9,16485,-0.959421
20111213,10,16326,1.897922
20111213,11,16191,3.647281
20111213,12,15976,5.869503
20111213,13,15715,8.177654
20111213,14,15588,9.933595
20111213,15,15433,9.933595
20111213,16,15625,9.470777
20111213,17,17178,8.359666
20111213,18,18435,6.789316
20111213,19,18361,6.333779
20111213,20,17990,5.882069
20111213,21,17341,5.434314
20111213,22,16204,5.434314
20111213,23,14579,5.882069
20111213,24,13031,5.434314
20111214,1,12017,4.878759
20111214,2,11501,4.435093
20111214,3,11267,4.435093
20111214,4,11242,5.106762
20111214,5,11564,4.435093
20111214,6,12673,4.551207
20111214,7,14796,4.551207
20111214,8,15944,4.551207
20111214,9,16059,4.671685
20111214,10,16042,5.907784
20111214,11,16004,7.018895
20111214,12,15903,7.574451
20111214,13,15729,8.130006
20111214,14,15689,8.685562
20111214,15,15630,8.685562
